Oración,Corrección
La mujer viene también en bicicleta.,MUJER VENIR TAMBIÉN MUJER BICICLETA
Yo muy anciano jugaré fútbol.,YO FUTURO ANCIANO JUGAR FÚTBOL
Yo necesito tener un bebé necesito un hijo.,YO NECESITAR BEBÉ HIJO YO BEBÉ-NECESITAR
Ellos cada 1 compró un balón.,ELLOS CADA-UNO BALÓN COMPRAR
El nació en otro país.,EL NACER OTRO PAÍS
Ella nació en otro país.,ELLA NACER OTRO PAÍS
Ellos llegaron tarde El bus ya se fue.,ELLOS TARDE BUS IR YA 
Ellas llegaron tarde El bus ya se fue.,ELLAS TARDE BUS IR YA
Ellos dos se casaron el año pasado.,ELLOS-DOS CASAR UN AÑO PASADO
Ustedes dos se casaron el año pasado.,USTEDES-DOS CASAR UN AÑO PASADO
Nosotros dos nos casamos el año pasado.,NOSOTROS-DOS CASAR UN AÑO PASADO
Un hombre que monta en bicicleta mira hacia arriba.,HOMBRE PEDALEAR-BICICLETA VER
Él es el mayor de los 3 hermanos.,ELLOS HERMANO TRES ÉL MAYOR
La primera mujer no era muy bonita.,MUJER PRIMERO BONITO REGULAR
Un niño monta en una bicicleta.,NIÑO PEDALEAR-BICICLETA
Nosotros estuvimos bailando toda la noche.,NOSOTROS BAILAR AMANECER
Nosotros dos fuimos elegidos para representar al colegio en el concurso.,COLEGIO ELEGIR NOSOTROS-DOS REPRESENTAR CONCURSO
Ustedes dos fueron elegidos para representar al colegio en el concurso.,COLEGIO ELEGIR USTEDES-DOS REPRESENTAR CONCURSO
Ellos dos fueron elegidos para representar al colegio en el concurso.,COLEGIO ELEGIR ELLOS-DOS REPRESENTAR CONCURSO
Cada persona debe llevar la comida al paseo.,CADA-UNO PERSONA PASEAR COMIDA DEBER LLEVAR
Tu vestido es bonito.,TUYO VESTIDO BONITO
Mi vestido es bonito.,MIO VESTIDO BONITO
Su vestido es bonito.,SUYO VESTIDO BONITO
¿Dónde lo compraste?,TÚ COMPRAR DONDE
¿Dónde lo compró?,USTED COMPRAR DONDE
Ustedes deben ver esa película.,USTEDES PELÍCULA USTEDES DEBER VER
Ellos deben ver esa película.,ELLOS PELÍCULA ELLOS DEBER VER 
ÉL debe ver esa película.,ÉL PELÍCULA ÉL DEBER VER
Ella debe ver esa película.,ELLA PELÍCULA ELLA DEBER VER
Aqui deben ver esa película.,AQUI PELÍCULA AQUI DEBER VER
Yo almuerzo con mi novia todos los sábados.,YO NOVIA NOSOTROS-DOS TODOS SÁBADO ALMORZAR
Tú almuerzas con tu novia todos los sábados.,TÚ NOVIA USTEDES-DOS TODOS SÁBADO ALMORZAR
Yo mismo voy a solucionar el problema.,YO-MISMO PROBLEMA SOLUCIONAR
Tú mismo vas a solucionar el problema.,TÚ-MISMO PROBLEMA SOLUCIONAR
Él mismo va a solucionar el problema.,ÉL PROBLEMA SOLUCIONAR
Ella misma va a solucionar el problema.,ELLA PROBLEMA SOLUCIONAR
Ellos mismos van a solucionar el problema.,ELLOS PROBLEMA SOLUCIONAR
Ustedes mismos van a solucionar el problema.,USTEDES PROBLEMA SOLUCIONAR
A mi abuelo le arreglan el bigote en la peluquería.,MI ABUELO IR PELUQUERÍA BIGOTE CORTAR
A tu abuelo le arreglan el bigote en la peluquería.,TUYO ABUELO IR PELUQUERÍA BIGOTE CORTAR
A su abuelo le arreglan el bigote en la peluquería.,SUYO ABUELO IR PELUQUERÍA BIGOTE CORTAR
El niño tiene una infección en la boca su mamá le compró medicamentos.,NIÑO BOCA INFECCÍON SUYO MAMÁ COMPRAR DROGA
El artista primero pintó los brazos y luego las piernas de la reina.,PINTOR REINA DIBUJAR ÉL PRIMERO DIBUJAR BRAZO DESPUÉS PIERNA
La artista primero pintó los brazos y luego las piernas de la reina.,PINTOR REINA DIBUJAR ELLA PRIMERO DIBUJAR BRAZO DESPUÉS PIERNA
Mi abuelo es calvo.,MI ABUELO CALVO
Tu abuelo es calvo.,TUYO ABUELO CALVO
Su abuelo es calvo.,SUYO ABUELO CALVO
A mi tío no le gusta ser canoso.,MI TÍO GUSTAR NO CANOSO
A su tío no le gusta ser canoso.,SUYO TÍO GUSTAR NO CANOSO
A tu tío no le gusta ser canoso.,TUYO TÍO GUSTAR NO CANOSO
La cara siempre debe protegerse del sol.,CARA DEBER SIEMPRE SOL CONTROLAR
El payaso pintó de rojo sus cejas y sus mejillas.,PAYASO CEJA MEJILLA COLOR ROJO PINTAR
Para aliviar el dolor de garganta ellos deben abrigarse el cuello con una bufanda.,GARGANTA DOLOR ALIVIAR ELLOS DEBER CUELLO BUFANDA
Para aliviar el dolor de garganta él debe abrigarse el cuello con una bufanda.,GARGANTA DOLOR ALIVIAR ÉL DEBER CUELLO BUFANDA
Para aliviar el dolor de garganta ella debe abrigarse el cuello con una bufanda.,GARGANTA DOLOR ALIVIAR ELLA DEBER CUELLO BUFANDA
Ella está enferma del estómago y le duele mucho.,ELLA ESTÓMAGO DOLER MUCHO ELLA ENFERMA
